,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
26212,2.9,13.1,109.1,6,0.0,0.8,98.0,-99.0
26213,4.0,14.8,144.1,6,0.0,1.1,93.0,-99.0
26214,25.9,10.6,-99.0,7,1.0,7.2,98.0,-99.0
26215,11.2,11.8,-99.0,6,-99.0,3.1,100.0,-99.0
26216,-99.0,11.3,-99.0,0,-99.0,-99.0,94.0,-99.0
26217,-99.0,8.0,-99.0,0,-99.0,-99.0,100.0,-99.0
26218,12.6,11.9,-99.0,6,0.1,3.5,-99.0,-99.0
26219,15.1,10.0,-99.0,6,1.1,4.2,100.0,-99.0
26220,41.0,8.7,-99.0,7,0.6,11.4,97.0,-99.0
26221,12.6,9.5,-99.0,6,1.3,3.5,100.0,-99.0
26222,27.4,9.3,-99.0,6,-99.0,7.6,100.0,-99.0
26223,16.2,13.6,110.1,5,0.0,4.5,98.0,1020.8
26224,1.4,10.8,106.6,2,0.0,0.4,96.0,-99.0
26225,7.9,13.3,90.7,6,0.2,2.2,100.0,1022.8
26226,1.8,12.1,308.8,5,0.0,0.5,96.0,-99.0
26227,15.1,9.5,438.3,8,0.0,4.2,100.0,-99.0
26228,8.6,13.6,59.7,6,0.0,2.4,100.0,1019.8
26229,1.8,11.6,437.5,5,0.0,0.5,86.0,1025.4
26230,-99.0,9.7,-99.0,0,-99.0,-99.0,100.0,-99.0
26231,-99.0,12.1,-99.0,0,0.0,-99.0,91.0,-99.0
26232,7.6,11.6,124.6,7,0.0,2.1,100.0,1024.5
26233,5.4,13.0,119.7,5,0.0,1.5,100.0,1024.7
26234,7.6,10.6,193.0,6,0.0,2.1,100.0,1024.9
26235,-99.0,-99.0,203.4,6,0.0,-99.0,-99.0,-99.0
26236,16.6,11.9,86.9,7,0.2,4.6,100.0,-99.0
26237,16.6,11.6,131.0,6,0.3,4.6,88.0,1019.9
26238,36.4,6.3,103.1,7,0.9,10.1,100.0,-99.0
26239,12.2,12.3,299.7,6,0.0,3.4,98.0,1022.8
26240,4.0,11.5,178.5,6,0.0,1.1,100.0,-99.0
26241,5.0,13.1,-99.0,6,0.0,1.4,-99.0,-99.0
26242,12.2,11.2,56.3,7,0.0,3.4,86.0,1019.2
26243,22.0,11.0,-99.0,6,0.0,6.1,88.0,-99.0
26244,11.2,14.0,171.0,6,0.0,3.1,83.0,1024.5
26245,5.4,12.7,105.4,6,0.1,1.5,97.0,-99.0
26246,11.2,12.7,114.3,6,-99.0,3.1,100.0,-99.0
26247,16.6,14.9,-99.0,6,0.0,4.6,89.0,1023.4
26248,11.9,11.7,186.6,6,0.0,3.3,98.0,-99.0
26249,5.0,-99.0,202.9,6,0.1,1.4,99.0,-99.0
26250,4.3,10.1,165.7,7,0.1,1.2,97.0,-99.0
26251,6.8,11.3,137.3,5,0.0,1.9,-99.0,-99.0
26252,1.8,12.3,142.1,2,0.0,0.5,100.0,-99.0
26253,1.4,11.4,0.8,4,0.3,0.4,99.0,-99.0
26254,-99.0,11.7,-99.0,0,-99.0,-99.0,95.0,-99.0
26255,20.9,12.7,6.7,3,1.1,5.8,99.0,-99.0
26256,11.9,15.5,4.1,7,1.0,3.3,68.0,-99.0
26257,9.4,10.8,138.7,6,0.0,2.6,95.0,-99.0
26258,6.1,11.9,-99.0,6,0.0,1.7,98.0,-99.0
26259,7.2,13.2,95.5,6,0.0,2.0,98.0,-99.0
26260,21.6,14.2,129.5,6,0.0,6.0,100.0,1020.2
26261,3.2,10.0,205.0,5,0.1,0.9,100.0,1024.7
26262,24.8,8.1,-99.0,6,-99.0,6.9,100.0,-99.0
26263,13.7,13.7,-99.0,6,0.0,3.8,89.0,-99.0
26264,-99.0,13.3,-99.0,0,0.0,-99.0,99.0,-99.0
26265,13.7,13.8,-99.0,6,0.9,3.8,87.0,-99.0
26266,7.9,14.6,-99.0,5,0.1,2.2,92.0,-99.0
26267,7.2,13.4,-99.0,7,0.2,2.0,92.0,-99.0
26268,13.7,14.1,-99.0,6,0.2,3.8,90.0,-99.0
26269,9.0,13.7,-99.0,5,0.3,2.5,93.0,-99.0
26270,15.8,13.1,-99.0,6,-99.0,4.4,95.0,-99.0
26271,0.0,10.8,171.4,4,-99.0,0.0,-99.0,-99.0
26272,12.6,12.1,-99.0,6,0.0,3.5,88.0,-99.0
26273,9.7,10.3,-99.0,8,0.0,2.7,96.0,-99.0
26274,1.1,5.5,268.8,9,0.0,0.3,98.0,1025.9
26275,2.2,14.5,-99.0,4,0.0,0.6,80.0,1025.6
26276,3.6,13.8,-99.0,5,0.0,1.0,87.0,1025.6
26277,4.0,14.4,-99.0,7,-99.0,1.1,92.0,1026.0
26278,7.6,11.0,-99.0,7,0.0,2.1,96.0,1026.2
26279,9.7,14.0,176.2,9,0.0,2.7,92.0,-99.0
26280,19.8,12.2,159.9,7,-99.0,5.5,96.0,1019.0
26281,11.2,13.8,149.1,6,0.0,3.1,92.0,1019.6
26282,16.6,15.3,-99.0,9,0.0,4.6,75.0,1032.9
26283,15.1,13.3,195.2,6,0.0,4.2,98.0,1020.3
26284,18.0,15.2,334.6,6,0.0,5.0,87.0,1019.9
26285,20.9,14.0,298.8,5,0.0,5.8,95.0,1019.8
26286,14.0,10.2,-99.0,6,0.0,3.9,99.0,1022.6
26287,12.2,13.0,389.9,8,0.0,3.4,96.0,-99.0
26288,16.6,14.8,-99.0,5,0.0,4.6,76.0,-99.0
26289,14.8,16.4,-99.0,8,0.0,4.1,84.0,-99.0
26290,2.9,15.8,-99.0,5,0.0,0.8,100.0,-99.0
26291,10.8,14.3,254.0,6,0.0,3.0,94.0,1024.5
26292,-99.0,13.1,-99.0,0,0.0,-99.0,93.0,-99.0
26293,9.0,18.1,98.1,4,0.0,2.5,58.0,-99.0
26294,34.6,10.5,178.0,6,0.0,9.6,99.0,-99.0
26295,10.8,15.2,-99.0,6,0.0,3.0,81.0,1029.1
26296,-99.0,13.8,152.3,0,0.0,-99.0,78.0,-99.0
26297,-99.0,15.1,164.3,0,0.0,-99.0,73.0,-99.0
26298,-99.0,8.0,694.3,0,0.0,-99.0,49.0,-99.0
26299,12.6,8.4,1129.5,4,0.0,3.5,88.0,-99.0
26300,11.2,7.6,-99.0,2,0.0,3.1,47.0,-99.0
26301,-99.0,10.0,-99.0,0,0.0,-99.0,14.0,-99.0
26302,-99.0,10.8,247.1,0,0.0,-99.0,31.0,-99.0
26303,4.0,13.1,-99.0,6,0.0,1.1,74.0,-99.0
26304,10.8,16.2,-99.0,3,0.0,3.0,64.0,-99.0
26305,5.8,17.0,-99.0,2,0.0,1.6,62.0,-99.0
26306,-99.0,12.1,-99.0,0,0.0,-99.0,94.0,-99.0
26307,15.5,9.4,-99.0,3,0.0,4.3,93.0,-99.0
26308,7.2,10.1,81.2,8,1.1,2.0,99.0,-99.0
26309,-99.0,15.2,595.7,0,0.0,-99.0,60.0,-99.0
26310,1.1,18.7,-99.0,8,0.0,0.3,56.0,1028.0
26311,3.6,12.8,-99.0,2,0.0,1.0,76.0,-99.0
26312,10.8,15.4,-99.0,3,0.0,3.0,65.0,1028.3
26313,13.7,10.4,163.2,7,0.2,3.8,100.0,1023.3
26314,4.0,16.6,189.0,9,0.2,1.1,93.0,-99.0
26315,11.5,14.3,152.8,6,-99.0,3.2,91.0,1020.5
26316,2.9,18.2,-99.0,6,0.0,0.8,58.0,1028.7
26317,13.3,14.0,345.1,6,0.0,3.7,97.0,1024.3
26318,6.5,13.5,408.7,6,0.0,1.8,-99.0,-99.0
26319,5.4,10.6,120.8,7,1.5,1.5,99.0,-99.0
26320,10.8,12.2,-99.0,6,0.0,3.0,100.0,-99.0
26321,-99.0,-99.0,0.0,0,-99.0,-99.0,99.0,-99.0
26322,18.0,15.7,-99.0,8,0.0,5.0,93.0,1017.9
26323,15.5,12.1,122.2,8,0.5,4.3,99.0,-99.0
26324,17.6,9.9,242.2,6,0.4,4.9,95.0,1017.8
26325,22.3,8.7,435.8,6,0.0,6.2,99.0,-99.0
26326,16.9,9.5,-99.0,7,0.0,4.7,100.0,-99.0
26327,17.6,14.2,370.2,5,0.0,4.9,88.0,-99.0
26328,11.5,15.8,243.3,5,-99.0,3.2,84.0,-99.0
26329,14.0,12.9,97.6,6,0.1,3.9,86.0,1018.8
26330,18.0,11.2,-99.0,7,-99.0,5.0,96.0,-99.0
26331,18.4,15.3,352.1,6,0.0,5.1,87.0,-99.0
26332,10.4,13.4,-99.0,6,0.0,2.9,99.0,1024.1
26333,11.9,13.4,232.6,0,0.1,3.3,89.0,-99.0
26334,8.3,16.2,271.7,2,0.0,2.3,78.0,-99.0
26335,27.4,11.9,-99.0,7,0.0,7.6,85.0,-99.0
26336,7.9,15.8,338.3,7,0.0,2.2,83.0,-99.0
26337,14.4,13.0,-99.0,6,0.2,4.0,95.0,-99.0
26338,10.1,10.7,157.6,6,0.1,2.8,91.0,-99.0
26339,15.8,10.5,-99.0,6,0.1,4.4,100.0,1021.4
26340,10.4,13.4,193.1,5,-99.0,2.9,100.0,-99.0
